task_group,model_name,condition,mean_score,mean_delta_vs_none,count
persistent,GMswa-40B-stage1,memory_only,-5.185049019607844,0.0,2
persistent,GMswa-40B-stage1,none,-5.185049019607844,0.0,2
persistent,GMswa-40B-stage1,original,-5.024509803921569,0.16053921568627402,2
persistent,GMswa-40B-stage1,summary_only,-5.185049019607844,0.0,2
persistent,swa-40B-stage1,memory_only,-4.97671568627451,0.0,2
persistent,swa-40B-stage1,none,-4.97671568627451,0.0,2
persistent,swa-40B-stage1,original,-4.9889705882352935,-0.012254901960784003,2
persistent,swa-40B-stage1,summary_only,-4.955882352941177,0.020833333333333003,2
